Ссылка на продукт,Наименование,Цена,Рейтинг пользователей,Описание продукта,Инструкция по применению,Страна-производитель
https://goldapple.ru/19000375073-sweet-heartbeat,Love is Набор парфюмерной воды SWEET HEARTBEAT 2 шт,957,4.4,"Сочные, гурманские ароматы Love is… теперь в компактной тревел версии. Миниатюрные флаконы 15 мл отлично подходят, чтобы носить с собой в сумочке и брать в поездки. Удобная форма флакона, качественная помпа и крышка, повышенная концентрация ароматических веществ делают этих малышек вашими незаменимыми и незаметными помощницами в любом деле, возьми их хоть на учёбу или работу, хоть в кругосветное приключение! SWEET HEARTBEAT: Парфюмерная вода Love is… Sweet hug, 15 мл - притягательный и сладкий коктейль с нотками Блю Курасао и ванили! Основные ноты: блю курасао, ваниль, бергамот, орхидея, цветок груши, пион, жасмин. Парфюмерная вода Love is… Strawberry heartbeat, 15 мл - нежная и сладкая влюблённость с нотками земляники и цветочным букетом. Основные ноты: клубника, роза, ежевика, пион, пралине, кашемир, амбра.","Для полноценного раскрытия туалетная вода наносится на пульсирующие участки кожи вблизи сосудов, которые будут постоянно его подогревать - на шею за ушами, под колено, на запястье, локтевые сгибы, волосы.",Россия
https://goldapple.ru/19000033108-moon-glory,THE HARMONIST духи Moon Glory 8.5 мл,4662,4.2,"Этот чувственный аромат напомнит вам об опьяняющем запахе цветов в сумерках Гавайев. Он отражает тот промежуточный момент, когда солнце уже исчезло за горизонтом, но ночь еще не вступила в свои права. Moon Glory сочетает в себе ингредиенты, отражающие энергию Инь: характерный запах гавайского жасмина, манящий аромат цветка Царица ночи и страстные ноты пассифлоры обогащены нотами личи, органического мёда и иланг-иланга. Этот нежный букет ароматов согрет нотами янтарного мускуса.","Аромат станет элегантным завершающим штрихом к образу. Аромат наносят на кожу, погружая себя в облако шлейфа.",Франция
https://goldapple.ru/19000374876-lady,Korloff Paris Набор парфюмерной воды SET LADY 2 шт,8325,5.0,"О, как же нежен и оригинален аромат Korloff Korloff Lady! Как настоящая Франция, он завораживает своей гармоничностью и мелодичностью, и воссоздает атмосферу весенне-летнего цветущего сада где-нибудь на берегах экзотического острова! Начальные фруктовые акценты, состоящие из композиции апельсина, мандарина и спелой груши, ненавязчиво, но эффективно привлекают к себе внимание. В самом сердце парфюма притаились заманчивый апельсиновый цвет, экзотическая тубероза и утонченный жасмин, сочетание которых пленит элегантностью и оригинальностью. Пряные, насыщенные, древесные элементы мускуса, сандала и кедра придают запаху гармоничную завершенность и оставляют после себя интересное послевкусие. Поспешите познакомиться с очаровательным, неназойливым и подходящим для повседневного использования ароматом Korloff Korloff Lady. В набор входит : Парфюмерная вода 88 мл + 30 мл.","Наносить на неповрежденные участки кожи, волос и одежду.",Франция
https://goldapple.ru/19000383233-h-alena-lavrent-eva-no-7,RBG Парфюмированный крем для рук и ног Х Алёна Лаврентьева no. 7 30 мл,719,4.7,"Гипнотическая обволакивающая текстура и чарующие аккорды ароматов. Крем для кожи рук и ног из коллаборации с нэйл экспертом Алёной Лаврентьевой создан с особым акцентом на детали. Приготовьтесь к непревзойденному комфорту в ежедневном ритуале красоты и ухода. Благодаря уникальной формуле с маслом ши и абрикосовой косточки, лецитином, витамином Е, экстрактом ромашки и календулы, крем глубокого увлажняет, питает и восстанавливает водный баланс кожи. Легкая текстура крема быстро впитывается, без ощущения липкости. Создавая ароматы и присваивая им номера, мы вдохновились древним учением о нумерологии – мистическое значение чисел наделяет каждый крем парфюмерной аффирмацией. Незримая связь таинства знаков, чарующих природных компонентов и тонко продуманной формулы откроет новые грани ритуала ухода за собой. Цифра 7 символизирует мудрость, утонченность, философское отношение к жизни и оригинальность. Когда воплотившаяся в реальность мечта об отпуске на побережье океана, переворачивает жизнь на 180°. Сердечный аккорд морской соли наполнит каждый день воспоминанием о минеральных утесах прибрежных скал и свободном бризе. А напитанные разгоряченным солнцем цветы шалфея и семена амбры напомнят о жарких моментах счастья. Верхние ноты: Семена амбры. Ноты сердца: Морская соль. Базовые ноты: Шалфей.",Равномерно нанести массажными движениями на чистую кожу рук и ног. Использовать ежедневно.,Россия
https://goldapple.ru/19000427060-encoder,Brocard Парфюмерная вода Encoder 100 мл,592,5.0,"Ваш персональный ключ: ключ к стилю, ключ к уникальности, ключ к успеху. Аромат Encoder открывается острой свежестью озона. Прозрачные акватические ноты добавляют ощущение прохлады утреннего бриза и соленой морской воды. Благородное созвучие древесных нот и золотой амбры, в шлейфе аромата, придает композиции тепло и глубину звучания.",Только для наружного применения. Распылять&nbsp; на кожу/волосы с расстояния 10-15 см.,Россия
https://goldapple.ru/19000306241-sosna-i-paculi,banka_home Аромасаше Сосна и пачули 1 шт,585,4.8,"Ароматный воск-саше ""Сосна и пачули"" . Сибирский хвойный аромат не елки, а именно сосны, дополненный лесными ягодами и зелёным яблоком. Этот аромат богат натуральными эфирными маслами пихтовой иглы, кедровым деревом и пачули. Данный воск можно использовать в аромалампе, либо пересыпать в стильный мешочек из органзы, который находится в комплекте, и повесить в шкаф для ароматизации.","Вскрыть упаковку, поместить саше в мешочек, разместить в шкафу/ящике для белья. Подходит для использования в аромалампе. Отломить нужное количество кубиков воска, расположить на греющей поверхности аромалампы.",Россия
https://goldapple.ru/19000035654-rose-d-amalfi,Tom Ford Парфюмерная вода Rose D'Amalfi 50 мл,28935,4.8,"«ROSE D’AMALFI — это сокровенный и чувственный аромат с нотой итальянского бергамота», — ТОМ ФОРД В композиции ROSE D’AMALFI сдержанно чувственная роза сливается в поцелуе с итальянским бергамотом и мандарином. Сочетание пряного розового перца с солнечной миндальной нотой гелиотропа вызывает пленительное ощущение нежных, наполненных чувственностью прикосновений и воспоминания о чарующей атмосфере Амальфитанского побережья. Прозрачный флакон ROSE D’AMALFI с матовой белой этикеткой, глянцевыми черными акцентами и ароматом чувственного светло-розового оттенка внутри выполнен в стиле коллекции Private Blend.",нет,США
https://goldapple.ru/99000042354-sunshine-in-russia,Devine Perfumes Парфюмерная вода Sunshine in Russia 100 мл,11580,нет,"Парфюм открывается свежими и яркими нотами лаванды, мандарина и чёрной смородины, создавая бодрящее начало. В сердце аромата доминируют пудровые аккорды, ноты ванили и цветочные, дополненные мягкой лавандой, что придают композиции женственность. Базовые ноты кедра, мускуса и сандалового дерева добавляют аромату теплоту, стойкость и глубину, завершая его богатым и чувственным шлейфом. Этот аромат идеально подходит для повседневного использования, деловых встреч и вечерних мероприятий.","Небольшое количество нанести на тело, избегая попадания в глаза. Только для наружного использования. Использование в пищевых целях опасно для здоровья.",ОАЭ
https://goldapple.ru/19000269136-douche-parfumee-neroli-dete,PAYOT Парфюмированный гель для душа Douche parfumée NEROLI DeTe 200 мл,1596,4.7,"Гель для душа PAYOT мягко очищает кожу, оставляя нежный аромат нероли, петитгрейна, белого кедра и мускуса. Мицеллы натурального происхождения убирают загрязнения. Эфирное масло петитгрейна дарит успокаивающий и расслабляющий эффект.","Нанесите гель на влажную кожу, вспеньте и помассируйте, затем тщательно смойте водой.",Франция
https://goldapple.ru/99000037761-dubai,BY KAORI Баттер для тела Dubai 150 мл,1490,нет,"Питательный баттер, обогащенный комплексом натуральных масел. Воздушный баттер интенсивно увлажняет и глубоко насыщает кожу, делает ее мягкой, гладкой и блестящей. Комплекс натуральных масел проникает в слои эпидермиса и омолаживает вашу кожу, регенерируя ее изнутри. Баттер постепенно впитывается в кожу и не оставляет на ней липкий слой. После использования баттера на теле остается деликатный, парфюмированный шлейф. Уникальность баттера в его текстуре: она легкая, воздушная и напоминает суфле. Продукт не оставляет на коже пленки и липкости, он полностью впитывается в слои эпидермиса. После его использования вы получаете глубокое увлажнение, мягкость и гладкость вашей кожи.","Наберите баттер из банки косметической лопаточкой и нанесите на кожу, равномерно массирующими движениями распределите по телу, избегая слизистых.",Россия
https://goldapple.ru/19000164626-solstis,Fragrance Du Bois Парфюмерная вода SOLSTIS 100 мл,30800,5.0,"Solstis символизирует собой непрерывное движение солнца по небосводу, это аромат нерушимой кармической связи между влюбленными, с самого первого дня знакомства. С течением времени их любовь меняется подобно ипостасям солнцеворота и проходит стадии молодого, юного, зрелого солнца, но неизменным остается флёр эйфории в начале отношений. Где бы вы ни были и какое время года не наступило за окном аромат Solstis неизменно вернет вас в весенне-летний период, где влюбленное сердце трепещет под звук расцветающего мира в котором правит любовь.",Только для наружного применения,Великобритания
https://goldapple.ru/19000421946-ikigai,Tesori d’Oriente Туалетная вода Ikigai 100 мл,778,4.7,"Аромат внутренней гармонии, спокойствия и баланса, созданный цветочными нотами розы, жасмина и сакуры, переплетенными с уточненной свежестью персика и пачули.","Нанести на кожу или одежду, избегая попадания в глаза или на раздраженную кожу.",Италия
https://goldapple.ru/99000038134-velvet-of-orient,Maison Berger Paris Наполнитель для диффузора Velvet of Orient 200 мл,2985,нет,"Чувственная композиция, привлекающая к себе все внимание. Неожиданная нота цветов кофе по-новому открывает такие знакомы ароматы мака и цветка апельсина – теперь они звучат еще более тонко и женственно. В перечных гранях изящно скрывается ваниль и амбра. Вызывает ли этот аромат привыкание? Несомненно.","Откройте флакон, наполните емкость для аромадиффузора содержимым флакона не более чем на 2/3. Храните вдали от детей и животных.",Франция
https://goldapple.ru/19000266089-molecule-tobacco,Preparfumer Духи Molecule Tobacco 30 мл,2154,4.6,"Первая фаза раскрытия сочетает кислые капли мандарина, терпкость бергамота и колкий пикантный шафран. Фиолетовый ладан звучит медитативно и плавно, а кедровый спил придаёт солидность и шарм. Базовые ноты оставляют чувство тепла и комфорта на коже. Глянцевая амбра согревает кожу, а мускус привносит оттенок чувственности и интимности.","Только на чистую кожу. Наносите парфюм только на тело, не на одежду. Наносить парфюм на несколько точек. Никогда не растирайте парфюм, позвольте ароматным капелькам парфюмированной воды, самостоятельно впитаться в кожу, тогда пирамида останется целой и невредимой, соответственно раскроется в своей естественной последовательности.",Франция
https://goldapple.ru/19000316381-sonia,Flame moscow Твердые духи Sonia 10 мл,1137,4.3,"Этот аромат — настоящий рок-н-ролл! Смелый и с характером. Начинается с уверенных аккордов мускуса и сексуальных ноток кожи, табака и черного перца. Душистый черный чай, амбра и сандал делают этот аромат любимым и мужчинами, и женщинами. Твердый парфюм удобно использовать на ходу и в путешествиях. В отличие от жидких парфюмерных средств, его можно взять с собой на борт самолета, а также удобно душиться им в окружении людей и в общественных местах. Аромат раскрывается у всех на коже по-разному, особенно у женщин и мужчин. Все ароматы — унисекс. За счет органического состава их также можно наносить на концы волос и кутикулу для увлажнения и питания.","Чтобы аромат раскрывался сильнее, духи необходимо нанести на все пульсирующие точки и волосы. Аромат раскрывается лучше при тепле. Количество наносимого средства нужно подбирать под индивидуальную способность кожи «дышать» и тем самым распространять аромат.",Россия
https://goldapple.ru/19000486223-la-figue,L'Artisan Parfumeur Парфюмированный лосьон для рук и тела La figue 500 мл,8030,нет,"Подарите коже роскошь французского ухода с парфюмерным лосьоном для рук и тела «LA FIGUE». Его формула гармонично сочетает свежие зеленые аккорды с благородными древесными нотами, завершаясь нежным шлейфом сладковатого инжира.","Нанести на кожу, избегая попадания в глаза.",Испания
https://goldapple.ru/19000315571-dirty-heaven,BornToStandOut Парфюмерная вода DIRTY HEAVEN 50 мл,18905,5.0,"«Удовольствие, радость, экстаз небес». Цветочный гурманский аромат. Элегантное начало из белых цветов гармонично сочетается с интенсивными оттенками восхитительных бобов тонка. Животные ноты деликатно окружают и усиливают композицию, делая ее завораживающей, захватывающей и божественной. Авангардный и экзистенциальный. Неземной и ангельский. У вас перехватит дыхание. Настоящий аромат рая и его чудес.","Распыляйте с расстояния 20-25 см. Не наносите на одежду, не используйте при нахождении на солнце.",Республика Корея
https://goldapple.ru/19000260482-velvet-oud,GIARDINO MAGICO концентрированные духи Velvet oud 50 мл,18500,5.0,"""A volte basta un attimo per scordare una vita, ma a volte non basta una vita per scordare un attimo."" - Иногда хватает мгновения, чтобы забыть жизнь, а иногда не хватает жизни, чтобы забыть мгновение. Он думал о смысле этой фразы весь вечер, покуривая сигару и слушая джаз. Попытки забыть то, что так хотелось, уже давно увенчались провалом и сердце все так же сжималось при воспоминании о ней. Velvet oud начинает свое звучание с восточных кожаных аккордов и бархатистого кашемира в облаке дыма от дорогого табака, плавно перетекая в теплую сладковатую амбру. Завершает композицию благородное звучание удового дерева и черного перца, оставляя незабываемый шлейф.",Наносить на кожу и волосы.,Россия
https://goldapple.ru/19000489216-rouge-bunny-rouge-kaleen,Rouge Bunny Rouge Парфюмерная вода KALEEN 50 мл,17400,5.0,"Едва уловимая меланхолия, пронизывающая ночной воздух города после дождя. С духами Kaleen вы можете позволить себе отвлечься от привычного ритма жизни и предаться ему, ощущая неуловимую и хрупкую красоту, где аромат сливается с глубокими, интимными чувствами. Парфюмер Николя Бонневиль (Nicolas Bonneville) создал элегантную композицию, в начальном аккорде которой звучат прозрачные цитрусовые ноты бергамота, грейпфрута и мандарина, дополненные контрастной остротой розового перца. В сердце Kaleen сливаются фруктовые ноты, цветочные и изысканные оттенки — кокос с его сливочной сладостью, сочный инжир, нежные ноты личи и розы. Манящую основу аромата образуют насыщенные ноты ванили и ветивера, безупречно сочетающиеся с кожистыми и древесными тонами. Группа ароматов: Древесные аккорды, Ваниль, Ветивер. Верхние ноты: Бергамот, Грейпфрут, Мандарин, Цитрусовые, Специи, Розовый перец. Ноты сердца: Кокос, Инжир, Личи, Цветочные аккорды, Роза, Фруктовые аккорды, Солнечные ноты, Сливочные ноты, Изысканные аккорды. Базовые ноты: Древесный аккорд, Ваниль, Ветивер.","Нанести на кожу, избегая попадания в глаза. Не для пищевых целей. Только для наружного применения.",Франция
https://goldapple.ru/99000123161-sport-series,WASHRITE Подарочный набор парфюмированных гелей для душа 3в1 sport collection 4 шт,3800,5.0,"Подарочный набор из 4 парфюмированных мужских гелей для душа — это идеальное решение для активных мужчин, которые ценят уверенность, комфорт и индивидуальность. Каждый гель вдохновлён парфюмерными ароматами и создаёт собственное настроение: бодрит, освежает, тонизирует и дарит ощущение чистоты на весь день. Универсальная формула 3 в 1 позволяет использовать средство не только как гель для душа, но и как гель-пену для тела и уходовое средство после тренировок. Гипоаллергенный состав с глицерином и мягкими поверхностно-активными веществами на основе кокосового масла подходит для всех типов кожи, в том числе чувствительной. Гели легко пенятся, эффективно очищают кожу от пота и загрязнений, не пересушивая её. Стойкие парфюмированные ароматы (грейпфрут и кедр, табак и ваниль, пачули с амброй и кофе с древесными нотами) подчёркивают стиль и характер каждого мужчины. Формат 4×250 мл удобно брать с собой в зал или в поездку — в наборе предусмотрены гели как для утренней свежести, так и для вечернего расслабления. Подарочный мужской набор из 4 парфюмированных гелей для душа — это не просто уходовая косметика, а уверенность, стиль и энергия в каждой капле.","1. Нанесите на влажную кожу небольшое количество геля, хорошо вспеньте. 2. Тщательно смойте тёплой водой.",Россия
https://goldapple.ru/19000260473-rosemary-vetiver-amber,"GIARDINO MAGICO Питательный крем для рук Rosemary, vetiver, amber 50 мл",1580,4.6,"Нежный, лёгкий и нелипкий крем для рук GIARDINO MAGICO одарит вас ароматами из парфюмерной линейки бренда и позаботится о коже ваших рук, напитав её, благодаря входящему в состав маслу ши, богатому витаминами А и Е. Поддерживает это великолепное комбо питательный коктейль из рапсового масла и экстракта виноградной косточки. Побалуйте кожу ваших рук ароматным кремом Rosemary, vetiver, amber, … с пряно-древесной парфюмерной композицией.",Массажными движениями нанести крем на сухую чистую кожу рук до полного впитывания.,Россия
https://goldapple.ru/19000051110-trace,SCENTOLOGIA Парфюмерная вода TRACE 100 мл,13860,3.0,"Tra.ce нишевый аромат, раскрывающий откровение момента, где встречаются прошлое и настоящее. Оживите свои воспоминания поцелуем пряной болгарской розы, и ощутите ультрасовременное дыхание новых удовых историй. Одна единственная капля, выпущенная однажды, начинает свое путешествие в космос. Придет момент, и эта капля раскроется и тогда шкала времени разделит все на «До» и «После». Scentologia и искусство вашей памяти создадут новую историю, нового вас!",Нанести несколько капель на выбранную часть поверхности кожи,Франция
https://goldapple.ru/26730700004-blanche,Byredo Гель для душа Blanche 225 мл,5159,4.5,"В качестве дополнения к аромату BLANCHE, выпущена коллекция продуктов по уходу за телом. Мягкий гель для душа окутает тело нежнейшей аурой Вашего любимого аромата. Флакон снабжен удобной крышкой, позволяющей брать его с собой в дорогу. Вся продукция BYREDO не содержит парабенов и включает только натуральные масла.",нет,Франция
https://goldapple.ru/19000148360-the-musc-refillable,ESSENTIAL PARFUMS PARIS Парфюмерная вода The Musc refillable 100 мл,6143,4.5,"Парфюмер – Calice Becker. «Я представляла этот аромат как облако обволакивающего, нежного, восхитительного мускуса в сочетании с имбирём и лавандой. Светлое цветочное сердце композиции гармонирует с мягкими древесными нотами и сандалом из Австралии». Одновременно медовый и свежий аромат The Musc – это тонкое сочетание пленительных нот. Чарующую и тёплую композицию открывают имбирь из Лаоса и французская лаванда. Натуральный пчелиный воск дарит сердцу аромата сливочную сладость, которую усиливают тонкие ноты мускуса. Австралийский сандал подчеркивает теплоту древесных нот. Создатели парфюмерной воды ESSENTIAL PARFUMS выбирают натуральные, экологически чистые материалы и стремятся снизить воздействие на окружающую среду. Компания использует сандал из Западной Австралии, чтобы обеспечить стабильные поставки ингредиента и поддержать местные общины, создав для них устойчивый источник дохода. Флакон парфюмерной воды подходит для многоразового использования, и его можно пополнять из рефила. В интернет-магазине представлен актуальный дизайн продукта. Обращаем внимание, возможно поступление товара в старом дизайне.","1. Снимите крышку с флакона, открутите и вытащите помпу. 2. Прикрутите рефил до конца. Пополнение прекращается автоматически. 3. Прикрутите помпу обратно на флакон и наденьте крышку",Франция
https://goldapple.ru/90151300006-red-grapefruit-bergamot-amber,"Zielinski & Rozen Диффузор для ароматерапии Red grapefruit, Bergamot, Amber 85 мл",3990,4.0,"Диффузор — украшение интерьера и приятный аромат в одном флаконе. В комплект входят ротанговые палочки-аппликаторы: с их помощью удобно регулировать интенсивность ароматизации. В диффузорах используется чистый этиловый спирт, который применяется в пищевой промышленности и медицине и не имеет вредных испарений. Бренд Zielinski & Rozen изменил название аромата без изменения состава. Новое наименование диффузора Patchouli & Jasmine, Lemon — Red Ggrapefruit, Bergamot, Amber. Если вам пришел аромат с прежним названием, не переживайте, мы уже обновляем товары на складах, скоро во всех заказах этот товар будет с новым наименованием.",Откройте крышку диффузора и поместите ротанговые палочки во флакон.,Россия
https://goldapple.ru/19000313350-blu-mediterraneo-mandorlo-di-sicilia,Acqua di Parma Туалетная вода Blu Mediterraneo Mandorlo Di Sicilia 100 мл,12712,нет,"Сицилия. Пересечение культуры и искусства, где миндаль является частью стиля и традиций. Сладкие ощущения выражены в аромате Mandorlo di Sicilia. Искрящаяся свежесть анисовых звездочек из Китая, бергамот и апельсин переливаются в мягкие окутывающие ноты зеленого средиземноморского миндаля и иланг-иланга. В шлейфе аромата – необыкновенное сочетание сандала, ванили, бальзама толу и белого мускуса.","Нанести аромат на запястья, шею и точки пульса.",Италия
https://goldapple.ru/19000300212-freshness,Make Sense Парфюмированный антиперспирант Sense of Freshness 150 мл,426,4.4,"Коллекция 'Sense of Freshness' окутает вас свежестью и легкостью. - Бергамот создает ощущение невероятной энергии - Ирис придает коллекции ноту роскоши и неповторимости - Мандарин наполняет нежными и сладкими нотками - Нероли создает атмосферу влюбленности, оставаясь в памяти надолго. Парфюмированный антиперспирант спрей из коллекции 'Sense of Freshness' обеспечивает надежную защиту от пота и заботится о коже благодаря ухаживающим компонентам в составе.","Перед применением встряхнуть. Распылять на кожу с расстояния 15-20 см. Использовать только по назначению. Если распылитель засорился, промойте его тёплой водой.",Россия
https://goldapple.ru/19000109899-santal-calling,EX NIHILO парфюмерная вода Santal Calling 100 мл,33110,4.9,"В аромате парфюмер Антуан Мезондье исследовал уникальные свойства сандалового дерева, привезенного из Австралии. Его главной идеей было соединить вместе современный парижский стиль с мистический энергией этого ингредиента для того, чтобы получилась яркая, успокаивающая и бесконечно притягательная композиция. Словно чарующее заклинание он создал SANTAL CALLING, осторожно смешав деликатную ноту Мускуса с безупречным Молочным аккордом. Затем соединил нежное Сандаловое дерево с Мадагаскарской Ванилью, придав аромату завораживающий шлейф.",нет,Франция
https://goldapple.ru/19760332198-stockholm-1978,Vilhelm Parfumerie парфюмерная вода STOCKHOLM 1978 20 мл,5940,4.8,"""Стокгольм - столица Швеции, 1978 - год, когда я родился. Этот аромат - мое личное высказывание, композиция, которую я создал для себя. То самое лето в том самом городе: место и время встреч. Одновременно безмятежный и опьяняющий. Аромат летнего Стокгольма",нет,Франция
https://goldapple.ru/19000499325-love-is-strawberry-heartbeat,Love is Парфюмерная вода Strawberry heartbeat 15 мл,980,нет,Нежная и сладкая влюбленность с нотками земляники. Милый и немного легкомысленный аромат девичьих грез.,"Распылите на пульсирующие зоны: запястья, шею, за ушами и внутреннюю сторону локтя. Избегайте контакта с одеждой. Для повышения стойкости рекомендуем наносить на хорошо увлажненную кожу.",Россия
https://goldapple.ru/99000081640-orris-i-ilang-ilang,Stoneglow candels Ароматическая свеча Оррис и Иланг-иланг 180 г,1890,нет,"Оррис и Иланг-Иланг. Тонкий пудровый шлейф орриса переплетается с экзотической негой иланг-иланга, создавая ауру роскоши. Горячий воск раскрывает глубину, как дорогой парфюм, превращая вечер в чувственный ритуал. 25 часов горения.","Зажечь свечу и дать верхнему слою воска стать жидким, так будет свеча ""таять"" равномерно, не жгите свечу дольше 30 - 40 минут, подрезайте фитиль, чтобы он был не длиннее 1 см., тушить свечу лучше накрыв её, а не задувать.",Великобритания
https://goldapple.ru/19000232706-monsieur-le-prince,Marina de Bourbon Парфюмерная вода Monsieur le Prince 100 мл,7541,4.4,"Блестящий и современный флакон украшен впечатляющей серебристой крышкой с подписью Royal Marina. Градиентное темно-синее стекло флакона отражает свежесть аромата. Стильная мужественная упаковка полностью соответствует цветовому оформлению флакона. Современный, глубокий и элегантный Monsieur Le Prince создан для умных и уверенных в себе мужчин. Этот аромат со свежими и слегка пряными нотами идеально подходит для любого случая.","Нанести на кожу, избегая попадания в глаза. Не для пищевых целей. Только для наружного применения.",Франция
https://goldapple.ru/19000358739-diamonds-in-the-sky,HFC Ароматическая свеча Diamonds In The Sky 190 г,11250,нет,"Преобразите пространство вокруг себя с новейшими парфюмированными свечами от hfc. Композиция diamond in the sky, принадлежащая к семейству древесно-гурманских ароматов, Сочетает в себе ноты шафрана, карамели и розовых ягод. Переливаясь в сердце аккордами белого и кашемирового дерева, а также мадагаскарской ванили, она подарит вам ощущение настоящего праздничного тепла.",нет,Франция
https://goldapple.ru/19760307717-oud-satin-mood-scented,Maison Francis Kurkdjian Парфюмированная дымка для волос OUD satin mood 70 мл,9710,4.8,"Парфюмированная дымка для волос OUD satin mood деликатно покрывает волосы нежным ароматом, делая волосы мягкими благодаря своей легкой, воздушной текстуре. Дымка не утяжеляет волосы, придает ощущение свежести. OUD satin mood отражает желание парфюмера привнести в жизнь мерцающую грань. Окутайте себя древесно-амбровой вуалью, чтобы приостановить время и почувствовать себя здесь и сейчас. Утонченные фиалковые аккорды, ноты удового дерева, эссенция розы и абсолю розы сливаются с богатым ванильно-амбровым шлейфом. Парфюмированная дымка OUD satin mood на основе касторового масла заключена в иконический стеклянный флакон Дома. Исключительный ольфакторный ритуал для ежедневного удовольствия. Чтобы насладиться моментом ухода за собой и продлить звучание вашего аромата OUD satin mood, попробуйте также парфюмированное масло для тела OUD satin mood.",Нанести на сухие или слегка влажные волосы с расстояния 10-15 см. Дымку для волос можно использовать самостоятельно и в сочетании с вашим ароматом.,Франция
https://goldapple.ru/19000360687-agarvud,Aasha Herbals Благовония Агарвуд 10 шт,113,3.0,"Агаровое дерево - мистический и магнетический аромат медитативных практик и духовного совершенствования. Наполняет ощущением покоя и гармонии, снимает напряжение и стресс, открывает способности к ясновидению и третий глаз, восстанавливает ясность ума, очищает сознание и усиливает умственные способности. Афродизиак.",Зажгите кончик ароматической палочки и осторожно раздуйте огонь. Используйте специальную подставку. Держать зажженную палочку вдали от легковоспламеняющихся предметов. Беречь от детей.,Индия
